word,language,word_class,system,tags,seed_weight,source,etymology,origin_lang
grid,en,noun,craft,"net,order",1.0,wiktionary,"mittengl. grid, Ursprung unklar",en
dust,en,noun,nature,"earth,air",1.0,wiktionary,"altengl. dūst 'Staub', germ. Ursprung",ang
crater,la,noun,nature,"bowl,stone",1.0,wiktionary,griech. kratēr 'Mischkrug',grc
vale,la,noun,nature,"valley,green",1.0,wiktionary,"lat. vallis 'Tal, Senke'",la
frost,en,noun,nature,"ice,cold",1.0,wiktionary,"altengl. forst 'Frost', germ. *frustaz",ang
ember,en,noun,nature,"fire,ash",1.0,wiktionary,"altengl. æmyrge 'Glut', germ. Ursprung",ang
gold,en,noun,craft,"value,shine",1.0,wiktionary,"altengl. gold 'Gold', germ. *gulþam",ang
Silent,en,prefix,nature,"quiet,calm",1.0,curated,lat. silens 'schweigsam',la
Golden,en,prefix,craft,"precious,shining",1.0,curated,"altengl. golden 'golden', zu gold",ang
Iron,en,prefix,craft,"strong,metal",1.0,curated,"altengl. īren 'eisern', germ. Ursprung",ang
Crimson,en,prefix,nature,"red,blood",1.0,curated,arab. qirmiz 'Kermes (Farbstoff)',ar
Ancient,en,prefix,myth_greek,"old,eternal",1.0,curated,"afrz. ancien, vlat. *anteanus 'vorherig'",fr
Wandering,en,prefix,myth_greek,"travel,journey",1.0,curated,"altengl. wandrung 'Wanderung', germ. Ursprung",ang
Ewig,de,prefix,nature,"eternal,forever",1.0,curated,"ahd. ēwīg, zu ēwa 'Ewigkeit, Gesetz'",goh
Dunkel,de,prefix,nature,"dark,shadow",1.0,curated,"ahd. tunkal, germ. Ursprung",goh
Strahlend,de,prefix,craft,"radiant,bright",1.0,curated,"zu dt. Strahl, ahd. strāla 'Pfeil, Blitz'",goh
Mystisch,de,prefix,myth_greek,"mystical,magic",1.0,curated,griech. mystikos 'geheimnisvoll',grc
Heilig,de,prefix,myth_greek,"holy,sacred",1.0,curated,"ahd. heilag, germ. *hailaga- 'ganz, gesund'",goh
radiant,en,adj,nature,"glowing,light",1.0,curated,"lat. radians 'strahlend', zu radius",la
hollow,en,adj,nature,"empty,void",1.0,curated,"altengl. holh 'Höhle', germ. Ursprung",ang
verborgen,de,adj,nature,"hidden,secret",1.0,curated,"zu bergen, ahd. bergan 'in Sicherheit bringen'",goh
aureus,la,adj,craft,"golden,bright",1.0,curated,"lat. aureus 'golden', zu aurum 'Gold'",la
ethereal,en,adj,myth_greek,"delicate,spiritual",1.0,curated,"lat. ethereus, griech. aither 'Himmelsfeuer'",la
turbulent,en,adj,nature,"stormy,chaotic",1.0,curated,"lat. turbulentus 'verworren', zu turba",la
serene,en,adj,myth_greek,"calm,peaceful",1.0,curated,"lat. serenus 'heiter, klar'",la
Glory,en,suffix,myth_greek,"honor,victory",1.0,curated,"lat. gloria 'Ruhm, Ehre'",la
Doom,en,suffix,nature,"fate,end",1.0,curated,"altengl. dōm 'Urteil', germ. *dōmaz",ang
Radiance,en,suffix,craft,"brightness,shine",1.0,curated,"lat. radians 'strahlend', zu radius",la
Serenity,en,suffix,myth_greek,"peace,calm",1.0,curated,"lat. serenitas 'Heiterkeit', zu serenus",la
Dawn,en,suffix,nature,"beginning,light",1.0,curated,"altengl. dagian 'dämmern', germ. *dagaz",ang
Asche,de,suffix,nature,"ash,remains",1.0,curated,"ahd. asca, germ. *askōn",goh
Aeternitas,la,suffix,myth_greek,"eternity,forever",1.0,curated,"lat. aeternitas 'Ewigkeit', zu aeternus",la
Macht,de,suffix,craft,"power,strength",1.0,curated,"ahd. maht, germ. *mahtiz",goh
Schicksal,de,suffix,myth_greek,"fate,destiny",1.0,curated,nhd. Bildung zu schicken (17. Jh.),de
Essenz,de,suffix,craft,"essence,core",1.0,curated,"lat. essentia 'Wesen, Sein'",la
